1;1;5;50;Sea;x
2;2;5;50;Sea;x
3;3;5;50;Sea;x
4;4;5;50;Sea;x
5;5;5;50;Sea;x
6;6;5;50;Sea;x
7;7;5;50;Sea;x
8;8;5;50;Sea;x
9;9;5;50;Sea;x
10;10;5;50;Sea;x
11;11;5;50;Sea;x
12;12;5;50;Sea;x
13;13;5;50;Sea;x
14;14;5;50;Sea;x
15;15;5;50;Sea;x
16;16;5;50;Sea;x
17;17;5;50;Sea;x
18;18;5;50;Sea;x
19;19;5;50;Sea;x
20;20;5;50;Sea;x
21;21;5;50;Sea;x
22;22;5;50;Sea;x
23;23;5;50;Sea;x
24;24;5;50;Sea;x
25;25;5;50;Sea;x
26;26;5;50;Sea;x
27;27;5;50;Sea;x
28;28;5;50;Sea;x
29;29;5;50;Sea;x
30;30;5;50;Sea;x
31;31;5;50;Sea;x
32;32;5;50;Sea;x
33;33;5;50;Sea;x
34;34;5;50;Sea;x
35;35;5;50;Sea;x
36;36;5;50;Sea;x
37;37;5;50;Sea;x
38;38;5;50;Sea;x
39;39;5;50;Sea;x
40;40;5;50;Sea;x
41;41;5;50;Sea;x
42;42;5;50;Sea;x
43;43;5;50;Sea;x
44;44;5;50;Sea;x
45;45;5;50;Sea;x
46;46;5;50;Sea;x
47;47;5;50;Sea;x
48;48;5;50;Sea;x
49;49;5;50;Sea;x
50;50;5;50;Sea;x
51;51;5;50;Sea;x
52;52;5;50;Sea;x
53;53;5;50;Sea;x
54;54;5;50;Sea;x
55;55;5;50;Sea;x
56;56;5;50;Sea;x
57;57;5;50;Sea;x
58;58;5;50;Sea;x
59;59;5;50;Sea;x
60;60;5;50;Sea;x
61;61;5;50;Sea;x
62;62;5;50;Sea;x
63;63;5;50;Sea;x
64;64;5;50;Sea;x
65;65;5;50;Sea;x
66;66;5;50;Sea;x
67;67;5;50;Sea;x
68;68;5;50;Sea;x
69;69;5;50;Sea;x
70;70;5;50;Sea;x
71;71;5;50;Sea;x
72;72;5;50;Sea;x
73;73;5;50;Sea;x
74;74;5;50;Sea;x
75;75;5;50;Sea;x
76;76;5;50;Sea;x
77;77;5;50;Sea;x
78;78;5;50;Sea;x
